_id,Year,Month,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin,Mail From Origin,Mail To Origin
191,2024,6,KOLKATA,JAMMU,790,727,0.16,0.12,0.00,0.00
192,2024,7,KOLKATA,JAMMU,880,573,0.06,0.00,0.00,0.00
193,2024,8,KOLKATA,JAMMU,967,617,0.22,0.00,0.00,0.00
194,2024,1,KOLKATA,JAMSHEDPUR,180,196,0.00,0.00,0.00,0.00
195,2024,2,KOLKATA,JAMSHEDPUR,149,191,0.00,0.00,0.00,0.00
196,2024,3,KOLKATA,JAMSHEDPUR,211,238,0.00,0.00,0.00,0.00
197,2024,4,KOLKATA,JAMSHEDPUR,129,165,0.00,0.00,0.00,0.00
198,2024,6,KOLKATA,JAMSHEDPUR,100,177,0.00,0.00,0.00,0.00
199,2024,7,KOLKATA,JAMSHEDPUR,142,189,0.00,0.00,0.00,0.00
200,2024,8,KOLKATA,JAMSHEDPUR,170,222,0.00,0.00,0.00,0.00
201,2024,1,KOLKATA,JHARSUGUDA,2031,2228,0.02,0.69,0.00,0.00
202,2024,2,KOLKATA,JHARSUGUDA,1913,1925,0.06,0.00,0.00,0.00
203,2024,3,KOLKATA,JHARSUGUDA,1854,1958,0.05,0.00,0.00,0.00
204,2024,4,KOLKATA,JHARSUGUDA,2156,2191,0.23,0.00,0.00,0.00
205,2024,6,KOLKATA,JHARSUGUDA,1867,1628,0.10,0.00,0.00,0.00
206,2024,7,KOLKATA,JHARSUGUDA,1932,1774,0.00,0.00,0.00,0.00
207,2024,8,KOLKATA,JHARSUGUDA,1893,1804,0.00,0.00,0.00,0.00
208,2024,1,KOLKATA,JORHAT,5046,4986,6.41,2.34,0.00,0.00
209,2024,2,KOLKATA,JORHAT,4637,4267,6.67,1.28,0.00,0.00
210,2024,3,KOLKATA,JORHAT,5161,4942,7.24,1.60,0.00,0.00
211,2024,4,KOLKATA,JORHAT,5425,5221,7.18,1.21,0.00,0.00
212,2024,6,KOLKATA,JORHAT,5126,5109,17.48,1.31,0.00,0.00
213,2024,7,KOLKATA,JORHAT,5259,5300,17.82,1.63,0.00,0.00
214,2024,8,KOLKATA,JORHAT,4978,4891,12.98,1.92,0.00,0.00
215,2024,4,KOLKATA,KOCHI,2376,2945,2.67,0.77,0.00,0.00
